"108年12月11日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
="01001T","土銀富邦R1","250,000","22","4,067,740","16.27","16.28","16.27","16.27"," ","0.00","16.27","57","16.28","62","0.00",
="01002T","土銀國泰R1","1,043,000","23","18,457,970","17.70","17.71","17.68","17.70","-","0.04","17.68","300","17.70","69","0.00",
="01003T","兆豐新光R1","49,000","48","874,670","17.86","17.86","17.85","17.85","-","0.10","17.85","5","17.90","2","0.00",
="01004T","土銀富邦R2","73,000","13","1,016,560","13.95","13.95","13.88","13.88","-","0.06","13.85","3","13.88","545","0.00",
="01007T","兆豐國泰R2","6,000","5","103,650","17.30","17.30","17.25","17.30"," ","0.00","17.25","47","17.30","18","0.00",
="01009T","王道圓滿R1","133,000","11","1,264,420","9.50","9.55","9.50","9.50"," ","0.00","9.48","5","9.50","90","0.00",
="01010T","京城樂富R1","14,000","4","143,050","10.22","10.22","10.21","10.21","-","0.02","10.21","12","10.22","16","0.00",
="020000","富邦特選蘋果N","207,000","14","1,137,630","5.48","5.51","5.48","5.51","+","0.03","5.51","80","5.52","150","0.00",
="020002","元富新中國N","1,000","1","14,220","14.22","14.22","14.22","14.22","X","0.00","14.22","250","14.24","250","0.00",
="020004","兆豐電菁英30N","0","0","0","--","--","--","--"," ","0.00","22.64","499","22.65","449","0.00",
="020005","永豐外資50N","1,000","1","22,110","22.11","22.11","22.11","22.11","X","0.00","22.20","499","22.22","499","0.00",
="020006","永昌中小300N","0","0","0","--","--","--","--"," ","0.00","21.53","100","21.54","104","0.00",
="020007","凱基臺灣500N","3,000","3","65,850","21.93","21.96","21.93","21.96","X","0.00","21.98","263","22.01","213","0.00",
="020008","元大特股高息N","127,000","29","1,334,780","10.52","10.52","10.50","10.51"," ","0.00","10.51","400","10.52","400","0.00",
="020011","統一微波高息20N","5,000","1","25,100","5.02","5.02","5.02","5.02","-","0.01","5.03","388","5.04","388","0.00",
"1101","台泥","9,054,000","2,610","381,878,550","42.10","42.25","42.05","42.15","+","0.05","42.15","497","42.20","35","10.38",
"1101B","台泥乙特","17,000","12","905,300","53.60","53.60","53.10","53.30","-","0.10","53.10","1","53.30","3","0.00",
"1102","亞泥","11,684,000","4,391","546,522,550","47.00","47.00","46.40","46.80","+","0.50","46.80","155","46.85","186","10.31",
"1103","嘉泥","1,239,000","420","24,767,600","19.90","20.05","19.90","20.05","+","0.20","20.00","2","20.05","87","9.93",
"1104","環泥","291,000","122","5,513,950","18.95","19.00","18.90","18.90"," ","0.00","18.90","193","18.95","3","12.35",
"1108","幸福","23,000","14","176,590","7.68","7.68","7.67","7.68","+","0.01","7.67","17","7.70","3","0.00",
"1109","信大","2,009,000","739","38,567,200","19.05","19.35","19.00","19.25","+","0.40","19.15","42","19.25","15","6.73",
"1110","東泥","14,000","7","237,200","16.90","16.95","16.90","16.95"," ","0.00","16.85","1","16.95","5","847.50",
"1201","味全","1,947,000","1,011","47,239,000","24.35","24.50","24.20","24.25","-","0.10","24.25","39","24.35","32","9.78",
"1203","味王","47,000","23","1,261,550","26.80","26.95","26.80","26.90","+","0.10","26.90","4","26.95","1","14.62",
"1210","大成","1,607,000","951","66,378,050","41.00","41.50","41.00","41.40","+","0.30","41.35","23","41.40","3","14.28",
"1213","大飲","20,000","10","121,310","5.85","6.10","5.85","6.10","+","0.06","6.10","6","6.13","1","0.00",
"1215","卜蜂","507,000","352","33,282,600","65.70","66.00","65.40","65.70","+","0.20","65.70","2","65.80","3","14.04",
"1216","統一","6,182,000","2,923","448,216,500","71.90","72.80","71.90","72.80","+","1.00","72.70","13","72.80","300","21.99",
"1217","愛之味","441,000","165","3,113,030","7.07","7.08","7.05","7.07","+","0.01","7.06","3","7.07","13","44.19",
"1218","泰山","153,000","67","3,458,150","22.65","22.65","22.55","22.65"," ","0.00","22.60","30","22.65","13","20.22",
"1219","福壽","24,000","17","431,850","17.95","18.15","17.95","18.10","+","0.10","18.00","1","18.10","1","67.04",
"1220","台榮","20,000","10","211,750","10.60","10.65","10.55","10.60"," ","0.00","10.55","8","10.60","26","18.93",
"1225","福懋油","194,000","72","6,865,150","35.40","35.50","35.25","35.25","-","0.15","35.25","4","35.45","5","23.66",
"1227","佳格","2,137,000","1,611","147,270,100","69.80","70.30","67.80","68.40","-","0.80","68.30","12","68.40","2","19.32",
"1229","聯華","1,173,000","672","42,364,150","36.15","36.30","36.00","36.10","-","0.05","36.05","16","36.10","20","13.88",
"1231","聯華食","191,000","147","7,973,050","41.55","41.85","41.55","41.70","+","0.15","41.70","10","41.75","3","15.11",
"1232","大統益","83,000","80","10,164,500","123.00","123.00","122.00","122.00","-","1.00","122.00","19","122.50","10","19.06",
"1233","天仁","16,000","14","614,450","38.50","38.50","38.25","38.50"," ","0.00","38.35","4","38.50","1","22.13",
"1234","黑松","108,000","58","3,503,550","32.45","32.50","32.40","32.40","-","0.10","32.40","8","32.50","2","16.12",
"1235","興泰","135,000","94","2,878,900","21.40","21.60","21.10","21.50","-","0.25","21.50","1","21.55","2","358.33",
"1236","宏亞","2,000","2","25,550","12.75","12.80","12.75","12.80","+","0.05","12.75","7","12.80","14","80.00",
"1256","鮮活果汁-KY","46,000","42","10,003,000","215.00","218.00","215.00","218.00","+","3.00","217.50","1","219.00","4","14.17",
"1301","台塑","3,315,000","1,329","319,234,500","96.50","96.50","96.00","96.50"," ","0.00","96.40","3","96.50","910","16.84",
"1303","南亞","2,474,000","1,022","176,003,200","71.00","71.30","70.80","71.30","+","0.20","71.10","33","71.30","1","24.33",
"1304","台聚","3,156,000","753","44,123,850","13.95","14.10","13.85","13.95"," ","0.00","13.90","24","13.95","9","16.61",
"1305","華夏","1,034,000","538","21,351,050","20.85","20.90","20.50","20.55","-","0.30","20.55","26","20.60","14","20.97",
"1307","三芳","266,000","146","6,283,450","23.80","23.80","23.50","23.55","-","0.30","23.55","1","23.60","2","22.86",
"1308","亞聚","1,074,000","376","16,903,900","15.55","15.85","15.55","15.80","+","0.15","15.80","59","15.85","143","15.34",
"1309","台達化","286,000","109","3,111,950","10.90","10.90","10.85","10.85"," ","0.00","10.85","15","10.90","79","25.83",
"1310","台苯","1,659,000","753","34,183,250","20.65","20.65","20.55","20.60","-","0.05","20.60","78","20.65","123","12.05",
"1312","國喬","2,936,000","972","53,772,650","18.40","18.45","18.20","18.25","-","0.10","18.25","9","18.30","81","8.41",
"1312A","國喬特","3,000","2","103,050","34.35","34.35","34.35","34.35","X","0.00","34.00","7","34.40","17","0.00",
"1313","聯成","988,000","337","10,564,250","10.75","10.80","10.65","10.65","-","0.10","10.65","121","10.70","14","0.00",
"1314","中石化","8,078,000","1,617","77,976,500","9.62","9.70","9.62","9.65","+","0.03","9.65","108","9.66","20","18.92",
"1315","達新","235,000","150","10,956,900","47.00","47.10","46.00","46.85","-","0.05","46.40","12","46.85","1","12.77",
"1316","上曜","569,000","296","7,950,900","14.05","14.10","13.90","14.00","-","0.05","13.95","5","14.00","58","0.00",
"1319","東陽","1,175,000","829","53,878,400","45.85","46.15","45.60","45.60","+","0.05","45.60","5","45.65","13","13.73",
"1321","大洋","169,000","92","6,078,850","35.95","36.15","35.80","35.80","-","0.10","35.75","10","35.80","1","238.67",
"1323","永裕","80,000","62","2,697,600","33.80","33.80","33.55","33.80","-","0.20","33.70","4","33.80","37","10.34",
"1324","地球","6,000","2","58,320","9.72","9.72","9.72","9.72","X","0.00","9.73","4","9.80","10","0.00",
"1325","恆大","21,000","20","326,200","15.45","15.65","15.45","15.65","+","0.15","15.45","7","15.65","4","31.30",
"1326","台化","4,392,000","2,439","379,896,900","86.50","86.70","86.30","86.70"," ","0.00","86.60","6","86.70","84","17.59",
"1337","再生-KY","330,000","108","1,925,310","5.83","5.87","5.82","5.85","+","0.02","5.84","7","5.85","20","0.00",
"1338","廣華-KY","164,000","112","10,595,900","63.40","65.50","63.40","65.10","+","1.80","65.00","2","65.10","4","14.47",
"1339","昭輝","4,011,000","2,597","194,384,750","46.40","49.85","46.35","49.85","+","3.50","49.85","12","49.90","37","10.17",
"1340","勝悅-KY","460,000","100","7,067,450","15.45","15.45","15.25","15.45"," ","0.00","15.40","25","15.45","13","0.00",
"1341","富林-KY","4,000","3","239,800","60.00","60.00","59.90","59.90","+","0.50","59.50","1","59.90","2","10.99",
"1402","遠東新","3,732,000","1,432","109,053,250","29.20","29.30","29.10","29.30","+","0.10","29.25","126","29.30","64","16.28",
"1409","新纖","1,916,000","430","22,385,950","11.70","11.80","11.60","11.70","-","0.05","11.70","34","11.75","282","9.36",
"1410","南染","22,000","12","679,650","30.95","31.30","30.80","30.85","-","0.10","30.85","1","30.95","4","24.68",
"1413","宏洲","123,000","62","1,177,330","9.61","9.61","9.51","9.60","-","0.03","9.53","2","9.60","14","8.65",
"1414","東和","71,000","25","503,320","7.08","7.13","7.08","7.12","+","0.04","7.09","2","7.11","2","0.00",
"1416","廣豐","56,000","19","751,750","13.50","13.50","13.35","13.45","+","0.05","13.40","15","13.45","28","15.46",
"1417","嘉裕","1,407,000","475","14,804,900","10.50","10.60","10.40","10.45"," ","0.00","10.45","125","10.50","20","0.00",
"1418","東華","37,000","13","224,250","6.20","6.20","5.81","5.81","-","0.39","5.80","4","5.81","1","0.00",
"1419","新紡","0","0","0","--","--","--","--"," ","0.00","42.00","4","42.80","2","34.31",
"1423","利華","15,000","5","155,250","10.35","10.35","10.35","10.35"," ","0.00","10.35","61","10.40","5","0.00",
"1432","大魯閣","72,000","39","483,630","6.84","6.84","6.64","6.82","-","0.02","6.70","2","6.80","2","0.00",
"1434","福懋","511,000","316","17,294,250","33.85","33.90","33.75","33.85"," ","0.00","33.80","6","33.85","38","16.67",
"1435","中福","861,000","168","6,054,910","6.93","7.12","6.93","7.01","+","0.08","7.01","14","7.09","1","350.50",
"1436","華友聯","8,000","8","289,500","36.30","36.30","36.05","36.05","-","0.20","36.05","3","36.25","3","22.67",
"1437","勤益控","183,000","92","4,574,300","25.00","25.10","24.95","25.00","-","0.10","24.95","2","25.00","3","5.92",
"1438","裕豐","14,000","6","182,000","13.00","13.00","13.00","13.00","+","0.05","13.00","2","13.20","1","0.00",
"1439","中和","697,000","414","20,892,350","31.80","31.80","29.00","29.00","X","0.00","29.00","12","29.15","7","2.99",
"1440","南紡","671,000","188","7,095,100","10.60","10.60","10.55","10.60"," ","0.00","10.60","119","10.65","99","0.00",
"1441","大東","27,000","19","210,250","7.76","7.88","7.76","7.78","-","0.02","7.78","9","7.79","19","0.00",
"1442","名軒","378,000","150","6,939,950","18.20","18.45","18.20","18.45","+","0.05","18.40","5","18.45","34","70.96",
"1443","立益","10,000","7","98,110","9.80","9.85","9.76","9.78","-","0.02","9.78","5","9.85","23","0.00",
"1444","力麗","488,000","174","4,521,070","9.27","9.30","9.24","9.26","-","0.01","9.25","60","9.26","1","26.46",
"1445","大宇","113,000","29","782,510","6.99","6.99","6.90","6.95","-","0.04","6.91","3","6.95","4","0.00",
"1446","宏和","425,000","230","14,793,700","34.80","35.10","34.60","34.70","+","0.40","34.60","258","34.70","8","0.00",
"1447","力鵬","379,000","125","2,659,850","7.00","7.03","7.00","7.01","-","0.01","7.01","71","7.03","26","0.00",
"1449","佳和","2,241,000","822","28,682,050","12.00","13.00","12.00","13.00","+","1.15","13.00","388","--","0","0.00",
"1451","年興","408,000","243","8,570,600","21.20","21.20","20.90","21.10","-","0.10","21.05","5","21.15","16","39.07",
"1452","宏益","50,000","26","914,200","18.30","18.35","18.25","18.30"," ","0.00","18.25","8","18.35","60","14.41",
"1453","大將","121,000","17","972,150","8.05","8.14","8.01","8.02","-","0.01","8.01","5","8.08","1","0.00",
"1454","台富","27,000","15","210,140","7.79","7.82","7.77","7.77","-","0.02","7.77","2","7.79","2","32.38",
"1455","集盛","483,000","174","3,815,490","7.89","7.93","7.86","7.91","+","0.06","7.91","14","7.92","6","0.00",
"1456","怡華","193,000","138","2,441,050","12.65","12.85","12.45","12.70","+","0.30","12.55","3","12.70","4","39.69",
"1457","宜進","293,000","94","4,111,800","14.00","14.10","13.95","14.10","+","0.05","14.00","5","14.10","83","9.79",
"1459","聯發","54,000","19","371,420","6.89","6.89","6.86","6.88","-","0.01","6.87","4","6.88","3","0.00",
"1460","宏遠","359,000","197","3,339,470","9.36","9.36","9.27","9.30","-","0.13","9.30","6","9.32","8","0.00",
"1463","強盛","84,000","41","1,114,650","13.25","13.30","13.20","13.20","-","0.10","13.20","17","13.25","1","15.35",
"1464","得力","1,509,000","727","39,425,800","26.35","26.35","26.00","26.10","-","0.15","26.10","35","26.15","11","21.39",
"1465","偉全","25,000","9","365,450","14.55","14.65","14.55","14.60","+","0.10","14.50","7","14.60","1","4.10",
"1466","聚隆","41,000","14","309,860","7.55","7.63","7.55","7.62","+","0.07","7.55","2","7.62","1","0.00",
"1467","南緯","263,000","69","2,213,580","8.40","8.44","8.40","8.43"," ","0.00","8.42","1","8.43","9","40.14",
"1468","昶和","12,000","9","119,700","9.91","10.10","9.91","10.10","+","0.05","9.91","3","10.10","10","37.41",
"1470","大統新創","3,000","2","60,300","20.10","20.10","20.10","20.10"," ","0.00","20.00","1","21.10","3","21.85",
"1471","首利","382,000","86","732,070","1.95","1.99","1.82","1.90","-","0.06","1.89","16","1.90","4","0.00",
"1472","三洋紡","63,000","39","1,801,900","28.65","28.75","28.20","28.65","-","0.05","28.65","2","28.75","3","16.85",
"1473","台南","93,000","38","2,130,050","22.90","23.00","22.85","23.00","+","0.10","22.90","11","23.00","10","18.25",
"1474","弘裕","23,000","17","219,070","9.42","9.62","9.42","9.53","+","0.16","9.50","3","9.53","3","39.71",
"1475","本盟","3,000","3","13,940","4.52","4.71","4.52","4.71","+","0.07","4.71","4","4.79","1","0.00",
"1476","儒鴻","623,000","516","248,081,000","396.00","402.00","395.50","397.00","+","2.00","396.00","5","397.00","3","24.72",
"1477","聚陽","1,142,000","778","176,617,500","154.00","155.50","153.50","155.50","+","1.50","155.00","157","155.50","79","18.21",
"1503","士電","15,000","12","667,900","44.70","44.70","44.40","44.60","+","0.20","44.50","7","44.60","1","14.87",
"1504","東元","2,195,000","999","59,022,700","27.00","27.00","26.80","26.85","-","0.15","26.85","96","26.90","47","15.98",
"1506","正道","61,000","31","874,300","14.40","14.45","14.00","14.45","+","0.05","14.40","2","14.45","16","0.00",
"1507","永大","34,000","21","2,108,200","61.90","62.10","61.90","61.90","-","0.20","61.90","3","62.00","4","30.95",
"1512","瑞利","49,000","10","191,100","3.90","3.90","3.90","3.90"," ","0.00","3.90","39","4.00","1","0.00",
"1513","中興電","960,000","178","20,481,700","21.35","21.45","21.20","21.30","-","0.05","21.30","163","21.35","1","14.39",
"1514","亞力","1,116,000","338","19,353,650","17.40","17.50","17.20","17.20","-","0.10","17.20","93","17.25","1","11.94",
"1515","力山","622,000","435","46,880,400","75.50","75.90","74.70","75.10","-","0.90","75.10","11","75.40","10","10.20",
"1516","川飛","77,000","31","1,297,000","16.95","17.10","16.75","16.95"," ","0.00","16.95","3","17.00","14","80.71",
"1517","利奇","109,000","46","992,080","9.10","9.15","9.05","9.08"," ","0.00","9.06","1","9.08","8","454.00",
"1519","華城","1,566,000","801","45,780,850","29.70","29.70","28.90","29.10","+","0.50","29.10","3","29.15","8","20.07",
"1521","大億","42,000","33","2,728,000","65.00","65.10","64.70","65.10","+","0.10","65.00","2","65.20","2","12.99",
"1522","堤維西","946,000","539","27,405,550","29.10","29.10","28.85","28.85","-","0.30","28.85","19","28.90","14","12.77",
"1524","耿鼎","132,000","59","1,320,000","9.98","10.05","9.98","9.98","+","0.01","9.98","14","10.00","3","10.62",
"1525","江申","4,000","4","220,300","55.00","55.10","55.00","55.10","+","0.10","55.00","5","55.30","1","11.41",
"1526","日馳","796,000","466","18,875,550","24.25","24.25","23.35","23.50","-","0.75","23.50","4","23.55","1","14.87",
"1527","鑽全","216,000","164","10,726,650","49.65","49.75","49.60","49.65","+","0.05","49.65","16","49.75","2","7.43",
"1528","恩德","108,000","36","949,100","8.81","8.83","8.77","8.81","+","0.01","8.78","2","8.80","2","0.00",
"1529","樂士","1,848,000","760","33,225,350","17.20","18.30","17.20","18.00","+","1.35","18.00","27","18.05","7","69.23",
"1530","亞崴","18,000","9","521,500","29.00","29.00","28.90","29.00","+","0.10","28.80","8","29.00","7","11.89",
"1531","高林股","38,000","17","574,700","15.10","15.15","15.10","15.15","+","0.05","15.15","5","15.20","29","32.93",
"1532","勤美","244,000","119","7,501,000","30.65","30.90","30.65","30.85","+","0.10","30.85","4","30.90","10","13.36",
"1533","車王電","20,000","18","726,000","36.30","36.75","36.00","36.20","-","0.10","36.20","1","36.40","2","14.37",
"1535","中宇","49,000","29","1,714,050","35.10","35.20","34.85","35.00","+","0.10","34.90","5","35.00","4","34.31",
"1536","和大","512,000","324","57,136,000","112.00","112.50","111.00","112.00"," ","0.00","112.00","10","112.50","7","34.67",
"1537","廣隆","62,000","47","9,049,000","146.00","146.50","145.50","145.50"," ","0.00","145.50","26","146.50","15","12.34",
"1538","正峰新","92,000","30","426,810","4.65","4.69","4.53","4.64","-","0.04","4.64","2","4.65","3","0.00",
"1539","巨庭","27,000","16","537,550","19.95","19.95","19.90","19.90","-","0.05","19.85","13","19.95","20","4.04",
"1540","喬福","123,000","56","2,384,000","19.55","19.55","19.30","19.40","-","0.10","19.35","2","19.40","27","9.11",
"1541","錩泰","800,000","495","28,674,050","37.10","37.10","35.00","35.85","-","2.65","35.80","2","35.90","7","16.60",
"1558","伸興","24,000","20","3,208,500","134.00","134.00","133.50","133.50"," ","0.00","133.50","8","134.00","28","11.34",
"1560","中砂","290,000","203","19,754,700","68.40","68.40","68.00","68.00","-","0.20","67.90","20","68.10","1","16.50",
"1568","倉佑","30,000","22","567,200","18.90","19.10","18.80","18.80","-","0.05","18.85","1","18.90","2","78.33",
"1582","信錦","263,000","203","23,238,300","88.90","88.90","88.00","88.50","-","0.40","88.40","8","88.50","2","11.68",
"1583","程泰","6,000","5","332,400","55.40","55.40","55.40","55.40","+","0.40","54.40","2","55.40","1","14.32",
"1587","吉茂","90,000","41","1,305,900","14.40","14.60","14.40","14.55","+","0.15","14.50","5","14.55","4","21.72",
"1589","永冠-KY","704,000","430","43,807,900","63.00","63.00","61.40","61.80","-","0.20","61.80","2","62.00","4","0.00",
"1590","亞德客-KY","634,000","525","277,469,500","439.00","443.00","435.00","436.00","-","1.50","436.00","11","437.50","9","31.96",
"1592","英瑞-KY","567,000","276","9,927,300","17.60","17.70","17.40","17.45","-","0.25","17.45","6","17.50","3","0.00",
"1598","岱宇","172,000","86","6,898,800","40.50","40.50","39.85","40.00","-","0.50","39.95","1","40.05","1","17.32",
"1603","華電","87,000","40","2,440,800","28.00","28.50","27.80","28.50","+","0.05","28.45","1","28.50","11","27.67",
"1604","聲寶","979,000","247","19,670,650","20.10","20.20","20.00","20.15","+","0.05","20.15","18","20.20","130","10.08",
"1605","華新","5,068,000","1,339","74,764,800","14.70","14.80","14.70","14.75","+","0.05","14.75","47","14.80","622","14.18",
"1608","華榮","203,000","80","1,992,540","9.79","9.87","9.78","9.80","+","0.01","9.79","10","9.80","14","42.61",
"1609","大亞","890,000","285","9,401,900","10.55","10.60","10.50","10.60","+","0.05","10.55","6","10.60","286","16.06",
"1611","中電","681,000","149","7,278,200","10.75","10.75","10.60","10.75"," ","0.00","10.70","17","10.75","14","26.88",
"1612","宏泰","95,000","51","1,026,650","10.80","10.85","10.75","10.80","+","0.05","10.75","122","10.80","18","22.50",
"1614","三洋電","76,000","30","2,300,200","30.30","30.35","30.20","30.30","+","0.10","30.30","5","30.35","15","39.35",
"1615","大山","128,000","59","2,236,550","17.50","17.55","17.35","17.55","+","0.15","17.40","12","17.55","21","10.32",
"1616","億泰","365,000","97","1,764,900","4.80","4.90","4.78","4.89","-","0.04","4.83","21","4.89","1","0.00",
"1617","榮星","3,000","3","36,400","12.15","12.15","12.10","12.15"," ","0.00","12.05","6","12.10","2","14.46",
"1618","合機","729,000","295","6,911,250","9.64","9.69","9.38","9.44","-","0.19","9.44","12","9.45","3","0.00",
"1626","艾美特-KY","259,000","174","7,401,800","28.50","28.75","28.40","28.40","-","0.10","28.40","2","28.50","4","8.53",
"1701","中化","296,000","145","5,637,250","19.00","19.10","19.00","19.10","+","0.10","19.05","2","19.10","25","15.79",
"1702","南僑","272,000","216","13,593,850","49.90","50.30","49.85","49.85","-","0.05","49.85","14","49.95","5","12.88",
"1707","葡萄王","117,000","97","22,484,500","193.00","193.00","191.50","192.00","-","0.50","192.00","6","192.50","12","20.27",
"1708","東鹼","119,000","49","2,917,550","24.45","24.60","24.45","24.60","+","0.10","24.55","9","24.60","3","20.50",
"1709","和益","111,000","47","1,439,350","12.90","13.05","12.90","12.95","-","0.10","12.95","79","13.00","1","49.81",
"1710","東聯","1,884,000","983","39,032,800","20.90","20.90","20.65","20.75","-","0.10","20.70","18","20.75","2","94.32",
"1711","永光","324,000","98","5,030,450","15.55","15.60","15.50","15.55","+","0.05","15.50","96","15.60","42","22.54",
"1712","興農","551,000","124","10,298,550","18.70","18.75","18.65","18.70"," ","0.00","18.65","271","18.70","16","12.14",
"1713","國化","7,000","5","125,100","17.85","17.90","17.85","17.90"," ","0.00","17.85","17","17.95","3","33.77",
"1714","和桐","11,229,000","2,666","82,523,680","7.32","7.46","7.24","7.25"," ","0.00","7.24","52","7.25","19","31.52",
"1717","長興","257,000","122","6,720,300","26.10","26.20","26.10","26.10","+","0.05","26.10","13","26.15","2","15.26",
"1718","中纖","1,419,000","305","11,313,410","8.00","8.01","7.95","7.96","-","0.04","7.96","158","7.98","2","0.00",
"1720","生達","256,000","149","8,663,000","34.00","34.00","33.75","33.75","-","0.15","33.75","4","33.90","19","16.15",
"1721","三晃","368,000","43","3,212,780","8.70","8.75","8.70","8.71","-","0.03","8.71","1","8.73","7","174.20",
"1722","台肥","790,000","505","38,062,550","48.20","48.45","48.10","48.15","-","0.05","48.15","4","48.20","86","21.59",
"1723","中碳","376,000","252","45,195,500","120.00","121.00","120.00","120.50","+","0.50","120.00","3","120.50","11","18.65",
"1724","台硝","87,000","28","1,133,650","13.00","13.10","13.00","13.00","+","0.05","13.00","28","13.05","1","16.05",
"1725","元禎","31,000","15","456,850","14.70","14.80","14.70","14.75","-","0.05","14.75","4","14.80","1","13.17",
"1726","永記","32,000","22","2,251,400","70.00","70.90","70.00","70.00"," ","0.00","70.00","11","70.40","1","18.82",
"1727","中華化","41,000","20","483,250","11.75","11.80","11.75","11.80"," ","0.00","11.80","4","11.85","11","31.05",
"1730","花仙子","327,000","278","23,137,200","71.50","71.50","70.50","70.90","-","0.80","70.90","8","71.00","4","11.38",
"1731","美吾華","61,000","36","806,300","13.20","13.30","13.20","13.20"," ","0.00","13.20","16","13.25","20","19.70",
"1732","毛寶","36,000","14","380,850","10.60","10.60","10.55","10.60","+","0.15","10.55","6","10.60","2","20.78",
"1733","五鼎","2,543,000","1,505","74,711,650","28.95","29.70","28.85","29.30","+","0.65","29.30","26","29.40","12","0.00",
"1734","杏輝","246,000","110","4,692,750","19.00","19.20","18.90","19.20","+","0.25","19.10","18","19.20","63","0.00",
"1735","日勝化","5,000","3","88,250","17.65","17.65","17.65","17.65"," ","0.00","17.60","1","17.80","22","17.30",
"1736","喬山","1,429,000","1,135","123,643,800","86.20","87.50","85.60","85.60","-","0.60","85.60","13","85.70","3","22.95",
"1737","臺鹽","117,000","72","3,774,650","32.25","32.40","32.20","32.30","+","0.05","32.20","42","32.30","10","19.23",
"1760","寶齡富錦","1,171,000","918","108,071,200","92.80","94.00","91.00","91.00","+","0.10","91.00","24","91.10","6","35.55",
"1762","中化生","446,000","291","15,860,450","35.75","35.95","35.30","35.50","-","0.15","35.45","28","35.50","1","36.22",
"1773","勝一","113,000","92","10,492,500","93.60","93.60","92.50","93.00","-","0.60","92.90","1","93.30","1","16.20",
"1776","展宇","4,000","3","59,550","14.90","14.90","14.85","14.85","-","0.05","14.85","1","14.95","5","31.60",
"1783","和康生","368,000","245","9,406,400","25.80","25.80","25.35","25.35","-","0.20","25.35","4","25.40","1","29.48",
"1786","科妍","270,000","201","19,602,700","72.40","73.10","72.20","72.60"," ","0.00","72.50","20","72.60","2","37.62",
"1789","神隆","1,177,000","684","32,106,100","27.10","27.60","27.05","27.10","+","0.10","27.10","29","27.20","6","82.12",
"1802","台玻","504,000","247","5,747,750","11.45","11.45","11.35","11.45","+","0.05","11.40","26","11.45","99","0.00",
"1805","寶徠","13,000","5","114,450","8.65","8.83","8.65","8.83","+","0.02","8.70","4","8.84","2","0.00",
"1806","冠軍","525,000","75","3,472,010","6.63","6.66","6.58","6.65","+","0.01","6.62","8","6.65","3","0.00",
"1808","潤隆","118,000","90","6,808,900","57.50","58.00","57.50","57.70","+","0.20","57.60","1","57.70","4","961.67",
"1809","中釉","831,000","245","10,061,750","12.00","12.20","11.95","12.05","+","0.10","12.00","4","12.05","4","0.00",
"1810","和成","204,000","51","1,653,100","8.11","8.15","8.09","8.11"," ","0.00","8.10","20","8.11","22","0.00",
"1817","凱撒衛","156,000","105","5,533,000","35.10","36.10","35.10","35.20","+","0.20","35.10","7","35.20","3","12.57",
"1902","台紙","103,000","57","2,017,200","19.60","19.65","19.45","19.65","+","0.05","19.50","1","19.65","7","28.07",
"1903","士紙","37,000","27","1,194,500","32.00","32.50","32.00","32.10","+","0.10","32.05","2","32.20","1","0.00",
"1904","正隆","633,000","293","11,992,200","18.90","19.00","18.90","18.95"," ","0.00","18.90","129","18.95","26","11.15",
"1905","華紙","471,000","152","4,231,320","8.99","9.01","8.96","9.00","-","0.02","8.98","7","9.00","2","150.00",
"1906","寶隆","210,000","49","2,804,000","13.45","13.45","13.25","13.30","-","0.05","13.30","18","13.35","22","9.78",
"1907","永豐餘","1,284,000","429","16,740,900","13.05","13.10","12.95","13.05","+","0.05","13.05","3","13.10","325","11.15",
"1909","榮成","4,519,000","998","62,011,350","13.75","13.80","13.60","13.70","-","0.05","13.70","205","13.75","129","0.00",
"2002","中鋼","9,128,000","2,709","214,153,950","23.40","23.50","23.35","23.50","+","0.05","23.45","72","23.50","1,245","23.50",
"2002A","中鋼特","23,000","22","1,238,000","53.90","53.90","53.70","53.90","+","0.10","53.70","6","53.90","10","0.00",
"2006","東和鋼鐵","569,000","244","12,831,850","22.40","22.60","22.40","22.60","+","0.20","22.55","72","22.60","27","18.99",
"2007","燁興","193,000","79","789,540","4.19","4.19","4.02","4.10","-","0.09","4.10","1","4.11","1","0.00",
"2008","高興昌","17,000","3","209,950","12.35","12.35","12.35","12.35"," ","0.00","12.35","33","12.40","3","0.00",
"2009","第一銅","162,000","66","1,499,250","9.25","9.27","9.24","9.26","+","0.04","9.25","69","9.26","54","0.00",
"2010","春源","115,000","55","1,167,900","10.15","10.20","10.15","10.15","-","0.05","10.15","92","10.20","99","39.04",
"2012","春雨","22,000","5","431,200","19.60","19.60","19.60","19.60"," ","0.00","19.60","5","19.75","1","10.65",
"2013","中鋼構","94,000","67","2,291,300","24.40","24.45","24.35","24.35","-","0.05","24.35","11","24.45","6","44.27",
"2014","中鴻","2,763,000","741","26,913,630","9.63","9.78","9.62","9.76","+","0.13","9.76","15","9.77","95","14.14",
"2015","豐興","389,000","255","20,680,300","53.30","53.60","53.00","53.10","-","0.20","53.10","32","53.30","20","13.41",
"2017","官田鋼","201,000","73","1,343,790","6.70","6.75","6.65","6.66","-","0.03","6.66","4","6.70","5","0.00",
"2020","美亞","106,000","43","1,617,950","15.25","15.30","15.20","15.30"," ","0.00","15.25","33","15.30","16","9.62",
"2022","聚亨","343,000","89","1,760,190","5.17","5.19","5.10","5.13"," ","0.00","5.13","10","5.17","19","0.00",
