"108年12月04日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"金融類日報酬兩倍指數","21,614.56","-","43.84","-0.20",
"金融類日報酬反向一倍指數","6,304.45","+","6.37","0.10",
"漲升股利150指數","6,408.51","-","2.69","-0.04",
"漲升股利100指數","6,377.14","-","13.74","-0.21",
"藍籌30指數","6,095.36","-","17.21","-0.28",
"工業菁英30指數","6,466.19","-","2.05","-0.03",
"電子菁英30指數","6,348.03","-","31.87","-0.50",
"低波動股利精選30指數","6,112.53","-","6.48","-0.11",
"低貝塔100指數","5,982.45","+","0.46","0.01",
"藍籌30反向一倍指數","7,806.70","+","21.92","0.28",
"中小型精選50指數","5,724.36","-","3.98","-0.07",
"中小型A級動能50指數","7,067.55","-","24.17","-0.34",
"特選高息低波指數","5,351.46","+","0.96","0.02",
"臺灣永續指數","5,722.65","-","10.74","-0.19",
"工業菁英30反向一倍指數","8,522.41","+","2.70","0.03",
"特選內需高收益指數","5,695.74","-","5.31","-0.09",
"價值投資指數","5,971.01","+","11.91","0.20",
"中小型300指數","5,982.79","-","6.99","-0.12",
"臺灣勞工權益指數","5,486.15","-","10.30","-0.19",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價報酬指數","16,486.38","-","24.18","-0.15",
"發行量加權股價報酬指數","21,427.33","-","39.32","-0.18",
"臺灣公司治理100報酬指數","8,056.51","-","12.79","-0.16",
"臺灣50報酬指數","--","","--","--",
"臺灣50權重上限30%報酬指數","--","","--","--",
"臺灣中型100報酬指數","--","","--","--",
"臺灣資訊科技報酬指數","--","","--","--",
"臺灣發達報酬指數","--","","--","--",
"臺灣高股息報酬指數","--","","--","--",
"臺灣就業99報酬指數","9,251.18","-","9.26","-0.10",
"臺灣高薪100報酬指數","7,929.26","-","10.01","-0.13",
"未含金融電子報酬指數","23,125.37","-","49.53","-0.21",
"小型股300報酬指數","7,806.59","-","10.92","-0.14",
"水泥類報酬指數","277.99","-","0.22","-0.08",
"食品類報酬指數","2,441.22","-","6.83","-0.28",
"塑膠類報酬指數","404.88","+","0.51","0.13",
"紡織纖維類報酬指數","768.64","-","3.28","-0.42",
"電機機械類報酬指數","247.49","-","3.47","-1.38",
"電器電纜類報酬指數","63.59","+","0.09","0.14",
"化學生技醫療類報酬指數","141.67","-","0.07","-0.05",
"化學類報酬指數","155.04","+","0.19","0.12",
"生技醫療類報酬指數","86.15","-","0.20","-0.23",
"玻璃陶瓷類報酬指數","36.52","-","0.01","-0.03",
"造紙類報酬指數","257.18","+","0.05","0.02",
"鋼鐵類報酬指數","149.00","+","0.21","0.14",
"橡膠類報酬指數","378.68","+","0.41","0.11",
"汽車類報酬指數","481.59","-","1.77","-0.37",
"電子工業類報酬指數","848.41","-","1.59","-0.19",
"半導體類報酬指數","336.72","-","0.48","-0.14",
"電腦及週邊設備類報酬指數","189.82","+","0.09","0.05",
"光電類報酬指數","51.86","-","0.34","-0.65",
"通信網路類報酬指數","242.51","-","0.31","-0.13",
"電子零組件類報酬指數","189.17","-","0.38","-0.20",
"電子通路類報酬指數","231.43","+","0.32","0.14",
"資訊服務類報酬指數","230.61","+","0.66","0.29",
"其他電子類報酬指數","123.22","-","0.56","-0.45",
"建材營造類報酬指數","516.03","-","0.03","-0.01",
"航運類報酬指數","88.68","-","0.27","-0.30",
"觀光類報酬指數","126.60","-","0.16","-0.13",
"金融保險類報酬指數","2,034.11","-","2.06","-0.10",
"貿易百貨類報酬指數","358.16","-","2.39","-0.66",
"油電燃氣類報酬指數","178.83","+","0.38","0.21",
"其他類報酬指數","431.09","-","2.81","-0.65",
"報酬指數(跨市場)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"臺灣生技報酬指數","4,833.39","-","1.53","-0.03",
"臺灣中小型公司治理報酬指數","6,312.21","+","14.48","0.23",
"臺灣IPO報酬指數","5,677.75","+","3.16","0.06",
"報酬指數(臺灣指數公司)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"漲升股利150報酬指數","7,579.76","-","3.18","-0.04",
"漲升股利100報酬指數","7,563.44","-","16.30","-0.22",
"藍籌30報酬指數","6,916.06","-","19.53","-0.28",
"工業菁英30報酬指數","7,345.08","-","2.33","-0.03",
"電子菁英30報酬指數","7,143.75","-","35.87","-0.50",
"低波動股利精選30報酬指數","6,986.56","-","7.41","-0.11",
"低貝塔100報酬指數","6,820.53","+","0.53","0.01",
"中小型精選50報酬指數","6,631.45","-","4.61","-0.07",
"中小型A級動能50報酬指數","7,689.02","-","26.30","-0.34",
"特選高息低波報酬指數","6,214.19","+","1.11","0.02",
"臺灣永續報酬指數","--","","--","--",
"特選內需高收益報酬指數","6,340.75","-","5.90","-0.09",
"價值投資報酬指數","6,771.75","+","13.50","0.20",
"存股雙十等權重報酬指數","5,649.13","-","24.53","-0.43",
"特選大蘋果報酬指數","6,197.40","-","36.40","-0.58",
"中小型300報酬指數","6,236.52","-","7.29","-0.12",
"特股高息20報酬指數","5,542.59","+","10.52","0.19",
"臺灣500報酬指數","6,158.40","-","11.45","-0.19",
"特選外資豐擁50報酬指數","6,227.83","-","12.72","-0.20",
"臺灣勞工權益報酬指數","5,722.30","-","10.75","-0.19",
"微波高息精選20報酬指數","5,164.59","+","14.50","0.28",
"特選世代行動通訊報酬指數","4,877.50","-","11.08","-0.23",
"108年12月04日 大盤統計資訊"
"成交統計","成交金額(元)","成交股數(股)","成交筆數",
"1.一般股票","97,615,955,360","1,944,100,000","748,472",
"2.台灣存託憑證","6,874,970","2,531,000","368",
"3.受益憑證","0","0","0",
"4.ETF","4,597,148,980","381,017,300","44,175",
"5.受益證券","16,382,230","1,451,000","90",
"6.變更交易股票","9,869,210","3,249,000","765",
"7.認購(售)權證","1,948,219,050","1,444,250,000","76,716",
"8.轉換公司債","0","0","0",
"9.附認股權特別股","0","0","0",
"10.附認股權公司債","0","0","0",
"11.認股權憑證","0","0","0",
"12.公司債","0","0","0",
"13.ETN","1,125,740","183,000","37",
"證券合計(1+6)","97,625,824,570","1,947,349,000","749,237",
"總計(1~13)","104,195,575,540","3,776,781,300","870,623",
"漲跌證券數合計"
"類型","整體市場","股票",
"上漲(漲停)","2,909(5)","326(4)",
"下跌(跌停)","5,046(24)","426(0)",
"持平","627","168",
"未成交","6,579","8",
"無比價","1,231","8",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"不加計外幣交易證券交易金額。",

"108年12月04日每日收盤行情(全部(不含權證、牛熊證))"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
="0050","元大台灣50","2,295,000","818","210,385,800","91.85","91.90","91.40","91.70","-","0.35","91.70","271","91.75","204","0.00",
="0051","元大中型100","18,000","12","618,900","34.41","34.44","34.24","34.41"," ","0.00","34.26","10","34.45","1","0.00",
="0052","富邦科技","108,000","9","7,192,250","66.60","66.60","66.45","66.45","-","0.10","66.45","3","66.50","3","0.00",
="0053","元大電子","2,000","2","79,640","39.84","39.84","39.80","39.80","+","0.16","39.65","4","39.80","1","0.00",
="0054","元大台商50","0","0","0","--","--","--","--"," ","0.00","23.89","1","24.00","1","0.00",
="0055","元大MSCI金融","15,000","15","279,520","18.69","18.69","18.60","18.63","-","0.01","18.62","1","18.69","2","0.00",
="0056","元大高股息","5,023,000","1,819","139,889,890","27.89","27.89","27.80","27.88","-","0.04","27.87","29","27.88","73","0.00",
="0057","富邦摩台","22,000","4","1,280,650","58.35","58.35","58.20","58.20","-","0.25","58.05","1","58.10","8","0.00",
="0058","富邦發達","22,000","5","1,064,570","48.29","48.40","48.28","48.40","-","0.46","48.30","1","48.69","1","0.00",
="0059","富邦金融","3,000","3","145,540","48.44","48.55","48.44","48.55","+","0.02","48.55","18","48.80","1","0.00",
="0061","元大寶滬深","597,000","122","10,466,070","17.50","17.59","17.50","17.54","-","0.05","17.54","30","17.56","2","0.00",
="006203","元大MSCI台灣","3,000","3","128,580","42.87","42.87","42.84","42.84","-","0.16","42.80","1","43.00","1","0.00",
="006204","永豐臺灣加權","40,000","2","2,290,000","57.25","57.25","57.25","57.25","-","0.10","57.30","50","57.50","50","0.00",
="006205","富邦上証","960,000","141","28,977,490","30.22","30.25","30.13","30.20","-","0.07","30.18","102","30.20","3","0.00",
="006206","元大上證50","69,000","49","2,200,290","31.98","31.98","31.80","31.89","-","0.14","31.88","10","31.89","11","0.00",
="006207","FH滬深","102,000","26","2,345,560","22.95","23.05","22.93","23.00","+","0.02","22.98","53","23.00","69","0.00",
="006208","富邦台50","723,000","189","36,748,800","50.85","50.95","50.75","50.90","-","0.05","50.85","77","50.90","15","0.00",
="00625K","富邦上証+R","55,000","6","385,400","7.08","7.08","7.00","7.00","-","0.03","7.02","14","7.07","5","0.00",
="00631L","元大台灣50正2","1,172,000","389","56,841,750","48.61","48.70","48.26","48.61","-","0.21","48.61","160","48.62","3","0.00",
="00632R","元大台灣50反1","26,353,000","2,305","276,801,050","10.50","10.53","10.48","10.49","+","0.02","10.48","10,456","10.49","4,271","0.00",
="00633L","富邦上証正2","5,750,000","1,559","262,979,830","45.44","46.02","45.41","45.89"," ","0.00","45.89","678","45.90","7","0.00",
="00634R","富邦上証反1","355,000","56","2,130,620","6.03","6.03","5.98","6.00","+","0.01","5.98","176","6.00","24","0.00",
="00635U","元大S&P黃金","898,000","286","19,107,520","21.29","21.31","21.25","21.31","+","0.24","21.31","13","21.32","127","0.00",
="00636","國泰中國A50","903,000","165","19,088,020","21.19","21.22","21.05","21.17","-","0.05","21.17","44","21.18","10","0.00",
="00636K","國泰中國A50+U","100","1","694","6.94","6.94","6.94","6.94","-","0.02","6.91","9","6.97","2","0.00",
="00637L","元大滬深300正2","68,610,000","4,912","1,204,390,680","17.46","17.66","17.42","17.65","+","0.04","17.64","21","17.65","1,144","0.00",
="00638R","元大滬深300反1","339,000","79","4,084,790","12.06","12.11","12.03","12.04","-","0.01","12.04","79","12.05","40","0.00",
="00639","富邦深100","1,581,000","142","16,606,450","10.46","10.54","10.43","10.52","+","0.03","10.52","43","10.53","3","0.00",
="00640L","富邦日本正2","333,000","14","7,359,960","22.05","22.11","22.01","22.11","-","0.07","22.08","55","22.11","10","0.00",
="00641R","富邦日本反1","269,000","37","3,706,980","13.79","13.80","13.76","13.78","+","0.05","13.76","18","13.78","61","0.00",
="00642U","元大S&P石油","1,769,000","240","29,221,930","16.49","16.55","16.47","16.54","+","0.07","16.53","36","16.54","434","0.00",
="00643","群益深証中小","389,000","143","4,664,510","11.99","12.04","11.92","12.00","+","0.01","11.98","53","12.01","3","0.00",
="00643K","群益深証中小+R","0","0","0","--","--","--","--"," ","0.00","2.75","10","2.81","2","0.00",
="00645","富邦日本","68,000","9","1,490,980","21.89","21.93","21.87","21.92","-","0.02","21.91","20","21.94","50","0.00",
="00646","元大S&P500","163,000","116","4,683,100","28.74","28.75","28.67","28.73","-","0.24","28.73","1","28.75","2","0.00",
="00647L","元大S&P500正2","26,000","20","1,014,170","39.00","39.01","38.98","39.01","-","0.61","39.00","4","39.01","6","0.00",
="00648R","元大S&P500反1","1,287,000","253","14,812,210","11.50","11.52","11.50","11.51","+","0.09","11.50","41","11.51","183","0.00",
="00649","FH香港","183,000","128","3,584,760","19.87","19.87","19.48","19.62","-","0.25","19.62","1","19.63","10","0.00",
="00650L","FH香港正2","1,435,000","462","38,339,020","27.44","27.44","26.51","26.79","-","0.68","26.78","1","26.79","21","0.00",
="00651R","FH香港反1","795,000","218","6,832,150","8.54","8.62","8.54","8.60","+","0.10","8.60","88","8.61","137","0.00",
="00652","富邦印度","41,000","17","973,310","23.72","23.81","23.69","23.81","-","0.06","23.81","39","23.86","1","0.00",
="00653L","富邦印度正2","133,000","64","3,981,090","30.04","30.08","29.77","30.03","-","0.06","30.03","52","30.09","1","0.00",
="00654R","富邦印度反1","37,000","18","491,380","13.26","13.31","13.26","13.26"," ","0.00","13.26","5","13.28","20","0.00",
="00655L","國泰中國A50正2","2,918,000","820","96,635,960","33.00","33.32","32.83","33.25","+","0.09","33.24","289","33.25","15","0.00",
="00656R","國泰中國A50反1","90,000","18","990,590","11.01","11.03","10.95","10.95","-","0.01","10.95","1","10.97","140","0.00",
="00657","國泰日經225","102,000","4","2,925,260","28.63","28.68","28.63","28.68","-","0.29","28.67","50","28.71","10","0.00",
="00657K","國泰日經225+U","100","1","939","9.39","9.39","9.39","9.39","-","0.10","9.38","12","9.44","14","0.00",
="00658L","國泰日本正2","2,000","2","74,680","37.40","37.40","37.28","37.28","-","0.77","37.24","30","37.44","30","0.00",
="00659R","國泰日本反1","32,000","19","360,760","11.27","11.29","11.25","11.25","+","0.10","11.25","26","11.29","11","0.00",
="00660","元大歐洲50","1,000","1","25,770","25.77","25.77","25.77","25.77","-","0.03","25.71","20","25.76","11","0.00",
="00661","元大日經225","0","0","0","--","--","--","--"," ","0.00","29.39","100","29.49","20","0.00",
="00662","富邦NASDAQ","178,000","36","5,745,120","32.22","32.30","32.19","32.26","-","0.29","32.20","75","32.26","69","0.00",
="00663L","國泰臺灣加權正2","18,000","8","783,290","43.45","43.66","43.30","43.30","-","0.49","43.67","330","43.74","150","0.00",
="00664R","國泰臺灣加權反1","1,606,000","172","19,160,820","11.93","11.97","11.91","11.92","+","0.01","11.91","353","11.92","180","0.00",
="00665L","富邦恒生國企正2","319,000","124","7,707,340","24.48","24.48","23.95","24.31","-","0.44","24.27","1","24.31","43","0.00",
="00666R","富邦恒生國企反1","90,000","9","1,233,290","13.70","13.75","13.70","13.70","+","0.16","13.65","40","13.73","40","0.00",
="00668","國泰美國道瓊","14,000","11","420,860","30.07","30.09","30.02","30.08","-","0.35","30.06","5","30.09","40","0.00",
="00668K","國泰美國道瓊+U","100","1","986","9.86","9.86","9.86","9.86","-","0.12","9.83","11","9.89","11","0.00",
="00669R","國泰美國道瓊反1","5,184,000","612","61,376,550","11.83","11.85","11.82","11.85","+","0.15","11.84","40","11.85","133","0.00",
="00670L","富邦NASDAQ正2","346,000","117","13,567,580","39.19","39.27","39.10","39.25","-","0.71","39.23","2","39.25","1","0.00",
="00671R","富邦NASDAQ反1","644,000","153","7,435,610","11.53","11.56","11.53","11.54","+","0.11","11.53","213","11.54","10","0.00",
="00672L","元大S&P原油正2","30,836,000","4,395","450,617,210","14.57","14.68","14.54","14.65","+","0.13","14.65","12","14.66","1,546","0.00",
="00673R","元大S&P原油反1","4,831,000","703","69,710,130","14.46","14.46","14.39","14.42","-","0.06","14.42","927","14.43","24","0.00",
="00674R","元大S&P黃金反1","79,000","45","1,340,940","17.00","17.00","16.95","16.95","-","0.24","16.95","160","16.97","15","0.00",
="00675L","富邦臺灣加權正2","23,000","8","433,930","18.91","18.91","18.79","18.90","-","0.10","18.91","200","18.96","200","0.00",
="00676R","富邦臺灣加權反1","1,029,000","147","6,669,320","6.48","6.50","6.47","6.47","+","0.01","6.46","305","6.47","41","0.00",
="00677U","富邦VIX","170,152,000","8,906","598,278,370","3.49","3.55","3.49","3.53","+","0.18","3.53","3,166","3.54","4,746","0.00",
="00678","群益NBI生技","459,000","69","10,837,400","23.52","23.66","23.52","23.65","+","0.15","23.63","5","23.65","1","0.00",
="00680L","元大美債20正2","311,000","111","7,812,020","25.17","25.20","25.06","25.11","+","0.94","25.11","199","25.13","5","0.00",
="00681R","元大美債20反1","18,000","7","280,450","15.57","15.61","15.57","15.59","-","0.26","15.55","15","15.59","12","0.00",
="00682U","元大美元指數","0","0","0","--","--","--","--"," ","0.00","19.39","60","19.44","1","0.00",
="00683L","元大美元指數正2","0","0","0","--","--","--","--"," ","0.00","19.46","5","19.52","10","0.00",
="00684R","元大美元指數反1","3,000","1","55,530","18.51","18.51","18.51","18.51","+","0.04","18.50","30","18.58","1","0.00",
="00685L","群益臺灣加權正2","9,000","9","150,380","16.75","16.77","16.63","16.75","-","0.09","16.77","1","16.78","150","0.00",
="00686R","群益臺灣加權反1","193,000","8","1,361,510","7.05","7.07","7.05","7.05","+","0.02","7.04","1,200","7.05","1,198","0.00",
="00688L","國泰20年美債正2","151,000","27","3,841,220","25.47","25.47","25.39","25.42","+","1.02","25.41","37","25.47","126","0.00",
="00689R","國泰20年美債反1","108,000","7","1,710,740","15.81","15.88","15.81","15.87","-","0.27","15.82","26","15.87","49","0.00",
="00690","兆豐藍籌30","250,000","56","5,761,720","23.20","23.20","23.02","23.05","-","0.11","23.05","3","23.06","1","0.00",
="00691R","兆豐藍籌30反1","0","0","0","--","--","--","--"," ","0.00","14.12","10","14.21","5","0.00",
="00692","富邦公司治理","4,239,000","2,006","97,314,370","22.99","23.00","22.92","23.00","-","0.02","22.99","8","23.00","29","0.00",
="00693U","華頓S&P黃豆","979,000","230","14,322,890","14.64","14.65","14.61","14.62","-","0.03","14.61","58","14.62","268","0.00",
="00700","富邦恒生國企","110,000","7","2,144,430","19.41","19.50","19.40","19.49","-","0.23","19.48","1","19.53","50","0.00",
="00701","國泰股利精選30","32,000","18","744,800","23.33","23.33","23.25","23.29","-","0.05","23.29","99","23.30","1","0.00",
="00702","國泰標普低波高息","10,000","1","211,400","21.14","21.14","21.14","21.14","-","0.13","21.15","105","21.28","103","0.00",
="00703","台新MSCI中國","212,000","24","4,204,410","19.88","19.89","19.75","19.77","-","0.23","19.79","30","19.81","10","0.00",
="00706L","元大S&P日圓正2","149,000","19","2,632,940","17.67","17.69","17.66","17.67","+","0.14","17.65","1","17.67","3","0.00",
="00707R","元大S&P日圓反1","41,000","3","814,280","19.88","19.88","19.86","19.86","-","0.12","19.83","10","19.90","10","0.00",
="00708L","元大S&P黃金正2","4,525,000","1,223","97,110,670","21.44","21.51","21.41","21.51","+","0.54","21.51","11","21.52","162","0.00",
="00709","富邦歐洲","108,000","6","2,238,640","20.65","20.74","20.65","20.74","-","0.01","20.68","1","20.76","50","0.00",
="00710B","FH彭博高收益債","649,000","65","13,324,230","20.54","20.55","20.51","20.55","+","0.01","20.54","32","20.55","47","0.00",
="00711B","FH彭博新興債","174,000","14","3,872,830","22.26","22.28","22.23","22.27","+","0.08","22.23","47","22.27","13","0.00",
="00712","FH富時不動產","477,000","26","8,646,920","18.14","18.14","18.11","18.14","+","0.03","18.13","40","18.14","31","0.00",
="00713","元大台灣高息低波","55,000","44","1,745,060","31.80","31.82","31.70","31.82","+","0.02","31.73","1","31.82","28","0.00",
="00714","群益道瓊美國地產","101,000","3","2,243,150","22.15","22.21","22.15","22.21","+","0.12","22.15","1","22.21","50","0.00",
="00715L","華頓S&P布蘭特正2","10,000","8","204,680","20.35","20.61","20.18","20.61","+","0.26","20.61","1","20.62","50","0.00",
="00717","富邦美國特別股","1,088,000","279","21,193,660","19.49","19.49","19.47","19.48","-","0.03","19.47","167","19.48","2","0.00",
="00728","第一金工業30","758,000","70","15,722,210","20.81","20.81","20.70","20.78","-","0.04","20.81","20","20.82","2","0.00",
="00730","富邦臺灣優質高息","491,000","268","8,842,080","18.05","18.05","18.00","18.02","-","0.03","18.01","4","18.02","44","0.00",
="00731","FH富時高息低波","755,000","239","36,093,660","47.90","47.90","47.70","47.82","-","0.08","47.80","4","47.82","3","0.00",
="00732","國泰RMB短期報酬","100,000","2","3,846,000","38.46","38.46","38.46","38.46","-","0.15","38.44","21","38.50","21","0.00",
="00733","富邦臺灣中小","206,000","5","3,997,600","19.41","19.41","19.24","19.24","-","0.18","19.24","8","19.39","1","0.00",
="00735","國泰臺韓科技","109,000","10","2,169,570","20.00","20.00","19.90","19.91","-","0.21","19.95","11","20.00","13","0.00",
="00736","國泰新興市場","105,000","3","2,087,350","19.87","19.88","19.87","19.88","-","0.02","19.86","15","19.91","10","0.00",
="00737","國泰AI+Robo","316,000","52","6,954,960","22.01","22.02","21.98","22.02","-","0.15","22.01","1","22.02","5","0.00",
="00738U","元大道瓊白銀","1,587,000","330","30,727,800","19.34","19.41","19.33","19.41","+","0.33","19.40","29","19.41","87","0.00",
="00739","元大MSCI A股","107,000","43","2,182,740","20.43","20.50","20.35","20.41","-","0.12","20.41","114","20.45","9","0.00",
="00742","新光內需收益","0","0","0","--","--","--","--"," ","0.00","21.57","31","21.75","23","0.00",
="00743","國泰中國A150","18,000","11","365,600","20.30","20.36","20.30","20.36","+","0.05","20.31","45","20.37","39","0.00",
="00752","中信中國50","848,000","419","19,261,850","22.80","22.81","22.67","22.70","-","0.14","22.69","12","22.70","23","0.00",
="00753L","中信中國50正2","334,000","162","7,818,970","23.61","23.61","23.32","23.36","-","0.49","23.35","14","23.36","15","0.00",
="00757","統一FANG+","225,000","11","4,805,200","21.30","21.36","21.30","21.34","-","0.22","21.34","1","21.36","4","0.00",
="00762","元大全球AI","222,000","58","5,404,960","24.35","24.37","24.31","24.36","-","0.11","24.35","5","24.36","3","0.00",
="00763U","國票道瓊銅","37,000","7","679,010","18.36","18.37","18.35","18.35","-","0.05","18.27","37","18.36","15","0.00",
="00766L","台新MSCI中國正2","683,000","97","6,538,620","9.53","9.61","9.51","9.60","-","0.15","9.59","30","9.60","17","0.00",
="00767","FH美國金融股","100,000","4","2,296,000","22.96","22.96","22.96","22.96","-","0.24","22.90","18","22.98","10","0.00",
="00770","國泰北美科技","2,000","1","48,340","24.17","24.17","24.17","24.17","-","0.18","24.14","100","24.16","1","0.00",
="00771","元大US高息特別股","92,000","22","1,883,200","20.50","20.50","20.46","20.49","+","0.01","20.49","1","20.50","101","0.00",
="00774B","新光中國政金綠債","2,000","2","78,240","39.12","39.12","39.12","39.12","-","0.05","39.03","25","39.13","1","0.00",
="00774C","新光中政金綠債+R","0","0","0","--","--","--","--"," ","0.00","8.92","25","8.96","10","0.00",
="00775B","新光投等債15+","2,000","2","91,400","45.70","45.70","45.70","45.70","+","0.39","45.63","25","45.76","5","0.00",
="00776","新光ICE美國權值","0","0","0","--","--","--","--"," ","0.00","21.93","25","22.00","10","0.00",
="00783","富邦中証500","950,000","35","16,175,820","17.00","17.05","17.00","17.03"," ","0.00","17.01","75","17.04","10","0.00",
="008201","BP上證50","0","0","0","--","--","--","--"," ","0.00","101.10","9","104.15","1","0.00",
="00830","國泰費城半導體","685,000","297","11,034,000","16.12","16.13","16.09","16.11","-","0.19","16.10","23","16.11","24","0.00",
="00850","元大臺灣ESG永續","2,363,000","1,075","52,888,790","22.44","22.44","22.35","22.41","-","0.05","22.40","114","22.41","19","0.00",
="00851","台新全球AI","34,000","24","700,520","20.65","20.65","20.58","20.60","-","0.13","20.59","2","20.60","1","0.00",
="00852L","國泰美國道瓊正2","439,000","121","7,204,240","16.41","16.43","16.39","16.41","-","0.41","16.41","15","16.43","417","0.00",
="00861","元大全球未來通訊","13,015,000","5,238","251,158,540","19.34","19.35","19.25","19.30","-","0.16","19.30","394","19.31","195","0.00",
="00865B","國泰US短期公債","399,000","108","15,943,620","39.95","39.97","39.94","39.94","+","0.01","39.94","260","39.95","13","0.00",
="00866","新光Shiller CAPE","132,000","18","2,594,570","19.66","19.68","19.64","19.66","-","0.13","19.65","51","19.66","3","0.00",
="01001T","土銀富邦R1","94,000","11","1,527,610","16.25","16.27","16.25","16.27","+","0.03","16.26","62","16.27","90","0.00",
="01002T","土銀國泰R1","131,000","20","2,319,010","17.70","17.72","17.70","17.71","-","0.01","17.70","404","17.72","28","0.00",
="01003T","兆豐新光R1","27,000","8","482,150","17.85","17.90","17.85","17.90","+","0.10","17.85","1","17.90","17","0.00",
="01004T","土銀富邦R2","18,000","7","249,750","13.88","13.89","13.87","13.89","+","0.01","13.86","1","13.89","3","0.00",
="01007T","兆豐國泰R2","38,000","8","655,970","17.26","17.27","17.26","17.27"," ","0.00","17.26","1","17.27","51","0.00",
="01009T","王道圓滿R1","813,000","13","7,774,310","9.59","9.59","9.56","9.56"," ","0.00","9.55","1","9.56","11","0.00",
="01010T","京城樂富R1","330,000","23","3,373,430","10.24","10.24","10.22","10.23"," ","0.00","10.22","111","10.23","24","0.00",
="020000","富邦特選蘋果N","99,000","17","529,680","5.38","5.38","5.34","5.35","-","0.03","5.35","54","5.36","100","0.00",
="020002","元富新中國N","0","0","0","--","--","--","--"," ","0.00","14.05","250","14.07","250","0.00",
